Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,easting.data,northing.data,zone_number.data,zone_letter.data
1644095479.277247,45,1644095479,269717693,GPS_Data,42.33734833333333,-71.09246666666667,63.9,327621.57161894714,4689353.162120559,19,T
1644095480.275534,46,1644095480,268247842,GPS_Data,42.33734166666667,-71.09246666666667,63.1,327621.55340257677,4689352.421837863,19,T
1644095481.2761936,47,1644095481,269239187,GPS_Data,42.337333333333326,-71.09247166666667,62.4,327621.118712274,4689351.506620742,19,T
1644095482.2759151,48,1644095482,268683671,GPS_Data,42.33732666666666,-71.09247333333333,61.7,327620.96318923787,4689350.769716801,19,T
1644095483.2767272,49,1644095483,269224882,GPS_Data,42.33731833333333,-71.09247333333333,61.2,327620.9404187121,4689349.8443634305,19,T
1644095484.2725837,50,1644095484,268643856,GPS_Data,42.337313333333334,-71.09247166666667,60.8,327621.064063055,4689349.285772654,19,T
1644095485.2763176,51,1644095485,269174814,GPS_Data,42.337311666666665,-71.09246,60.0,327622.0206555815,4689349.077050767,19,T
1644095486.2757242,52,1644095486,268196105,GPS_Data,42.33730833333334,-71.09245,59.3,327622.83538744145,4689348.686637058,19,T
1644095487.276766,53,1644095487,269423723,GPS_Data,42.337305,-71.09244166666667,58.8,327623.5128127101,4689348.299602146,19,T
1644095488.276519,54,1644095488,269530296,GPS_Data,42.337311666666665,-71.09241166666668,57.8,327626.0025487428,4689348.97906857,19,T
1644095489.2773113,55,1644095489,270072221,GPS_Data,42.33731666666666,-71.09238833333333,57.2,327627.9385037471,4689349.48697965,19,T
1644095490.2767086,56,1644095490,269450426,GPS_Data,42.33732,-71.09236833333333,56.4,327629.5952912895,4689349.816577753,19,T
1644095491.27946,57,1644095491,272244930,GPS_Data,42.33732333333334,-71.09234666666666,55.6,327631.38938529417,4689350.14279769,19,T
1644095492.2966928,58,1644095492,289654493,GPS_Data,42.33732,-71.09232999999999,54.0,327632.75334405346,4689349.738870955,19,T
1644095493.2782876,59,1644095493,270854711,GPS_Data,42.337315000000004,-71.09231333333334,52.8,327634.11274919903,4689349.14987382,19,T
1644095494.276764,60,1644095494,269653320,GPS_Data,42.337305,-71.092295,50.9,327635.59580008313,4689348.002286469,19,T
1644095495.29497,61,1644095495,287592172,GPS_Data,42.33729666666667,-71.09227666666668,49.2,327637.0834051245,4689347.039770121,19,T
1644095496.2771986,62,1644095496,269596815,GPS_Data,42.33729166666667,-71.092265,48.3,327638.03089102276,4689346.460909101,19,T
1644095497.3004456,63,1644095497,293301582,GPS_Data,42.337288333333326,-71.09225166666667,47.4,327639.1202374061,4689346.063740484,19,T
1644095498.2784016,64,1644095498,270927190,GPS_Data,42.33727833333334,-71.09223666666666,45.8,327640.3286762801,4689344.922910987,19,T
1644095499.2836688,65,1644095499,276519536,GPS_Data,42.337266666666665,-71.09222166666667,44.3,327641.5325619962,4689343.597011041,19,T
1644095500.2976618,66,1644095500,290246963,GPS_Data,42.33725333333334,-71.09220833333333,42.4,327642.59458787483,4689342.089418976,19,T
1644095501.2782993,67,1644095501,270959854,GPS_Data,42.33723833333333,-71.09219499999999,41.0,327643.6520607332,4689340.396756419,19,T
1644095502.300944,68,1644095502,292438268,GPS_Data,42.33723166666667,-71.09218333333334,40.5,327644.59499459795,4689339.632825669,19,T
1644095503.298844,69,1644095503,291570663,GPS_Data,42.33722666666666,-71.09217,39.9,327645.67978895426,4689339.05058745,19,T
1644095504.2777014,70,1644095504,270465612,GPS_Data,42.337221666666665,-71.09216166666667,39.7,327646.35266292014,4689338.478484152,19,T
1644095505.279445,71,1644095505,272343397,GPS_Data,42.337225000000004,-71.09214333333333,39.1,327647.87214507326,4689338.811464876,19,T
1644095506.2768795,72,1644095506,269641876,GPS_Data,42.33722666666666,-71.09212833333332,39.2,327649.11246004456,4689338.966131647,19,T
1644095507.2788708,73,1644095507,271583795,GPS_Data,42.33722666666666,-71.09211166666667,38.9,327650.4855284754,4689338.932349797,19,T
1644095508.2962165,74,1644095508,289171934,GPS_Data,42.337225000000004,-71.09210333333334,39.0,327651.16750940075,4689338.730388307,19,T
1644095509.2974768,75,1644095509,289965152,GPS_Data,42.33722833333333,-71.09208833333334,38.9,327652.41237753583,4689339.070126329,19,T
1644095510.295201,76,1644095510,287755727,GPS_Data,42.33723,-71.09207333333333,39.2,327653.65269231825,4689339.224793899,19,T
1644095511.2757404,77,1644095511,270314455,GPS_Data,42.33723499999999,-71.09206,39.7,327654.7648065906,4689339.752981108,19,T
1644095512.29503,78,1644095512,287824392,GPS_Data,42.33723666666666,-71.09204833333334,40.0,327655.7305075348,4689339.914405227,19,T
1644095513.301321,79,1644095513,293636322,GPS_Data,42.33724,-71.09204,40.4,327656.4261479486,4689340.267656247,19,T
1644095514.2979553,80,1644095514,290362596,GPS_Data,42.33724666666667,-71.09202833333333,41.2,327657.4055081585,4689340.98429259,19,T
1644095515.3006136,81,1644095515,293007850,GPS_Data,42.33725,-71.09202,41.7,327658.101148373,4689341.337543771,19,T
1644095516.2812684,82,1644095516,273678064,GPS_Data,42.33725166666667,-71.09201166666666,42.3,327658.79223542614,4689341.505724354,19,T
1644095517.2860165,83,1644095517,278454780,GPS_Data,42.33725333333334,-71.09199333333332,41.9,327660.30716314696,4689341.653637071,19,T
1644095518.3042107,84,1644095518,296729803,GPS_Data,42.33725333333334,-71.09197833333333,42.7,327661.5429242025,4689341.623235355,19,T
1644095519.285212,85,1644095519,277727603,GPS_Data,42.33725166666667,-71.09196333333333,43.2,327662.774132269,4689341.407763192,19,T
1644095520.285259,86,1644095520,277650356,GPS_Data,42.33725333333334,-71.09194833333332,43.1,327664.0144463143,4689341.562432579,19,T
1644095521.2882135,87,1644095521,281080007,GPS_Data,42.33725166666667,-71.09193333333333,43.4,327665.245654444,4689341.346960852,19,T
1644095522.2821395,88,1644095522,277263641,GPS_Data,42.33724833333334,-71.09191833333333,43.4,327666.4723097506,4689340.946418679,19,T
1644095523.28618,89,1644095523,278587579,GPS_Data,42.33724666666667,-71.09190166666667,43.3,327667.84082483896,4689340.727569555,19,T
1644095524.2851532,90,1644095524,277591705,GPS_Data,42.337245,-71.09188333333333,43.1,327669.34664680343,4689340.505342898,19,T
1644095525.284408,91,1644095525,277445316,GPS_Data,42.337243333333326,-71.09186666666666,43.1,327670.7151620401,4689340.28649434,19,T
1644095526.288648,92,1644095526,281616687,GPS_Data,42.33724166666666,-71.09184499999999,41.8,327672.4955977729,4689340.057512819,19,T
1644095527.285219,93,1644095527,278241634,GPS_Data,42.337243333333326,-71.09183,42.3,327673.73591174476,4689340.212183925,19,T
1644095528.2850158,94,1644095528,277534246,GPS_Data,42.33724166666666,-71.09181166666667,42.3,327675.24173393694,4689339.989958544,19,T
1644095529.2846265,95,1644095529,277257919,GPS_Data,42.33724,-71.09179166666667,42.4,327676.8848630224,4689339.764355835,19,T
